num,uec256_name,food_id,food_name,energy_kcal,water_g,protein_g,fat_g,fiber_g,carbohydrate_g,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,zinc_mg,copeer_mg,manganess_mg,iodine_ug,selenium_ug,chromium_ug,molybdeum_ug,vitamin_d_ug,vitamin_k_ug,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,biotin_ug,vitamin_c_mg,,,
1,rice,01083,こめ　［水稲穀粒］　精白米　うるち米,342,14.9,6.1,0.9,0.5,77.6,1,89,5,23,95,0.8,1.4,0.22,0.81,0,2,0,69,(0),0,0.08,0.02,1.2,0.12,(0),12,1.4,(0),,,
2,eels on rice,10070,＜魚類＞　うなぎ　かば焼,285,50.5,23.0,21.0,(0),3.1,510,300,150,15,300,0.8,2.7,0.07,-,77,42,2,2,19.0,(0),0.75,0.74,4.1,0.09,2.2,13,10.0,Tr,,,
3,pilaf,18014,洋風料理　その他　えびピラフ,146,(62.9),(3.3),(2.3),(1.2),(29.8),(560),(63),(11),(9),(45),(0.2),(0.6),(0.12),(0.29),0,(3),0,(23),(0.1),(4),(0.02),(0.02),(0.4),(0.04),(0.1),(5),(0.9),(2),,,
4,chicken-'n'-egg on rice,19001,和風料理 煮物類 親子丼の具 + こめ ［水稲めし］ 精白米 うるち米,128.5,69.7,5.5,2.8,1,21.4,190.5,74.5,12,9.5,61,0.4,0.7,0.1,0.2,3.5,4.5,0,16.5,0.4,7.0,0,0.1,0.6,0.1,0.2,11.5,3.9,1,,,
5,pork cutlet on rice,19002,和風料理 煮物類 カツ丼  ぶた ロース 脂身つき とんかつ+ こめ ［水稲めし］ 精白米 うるち米,292.5,45.6,12.25,18.1,1.1,23.45,55.5,184.5,8.5,17,117,0.35,1.25,0.085,0.235,0,12,0,17,0.35,8,0.385,0.08,3.6,0.165,0.25,4.5,2.75,0.5,,,
6,beef curry,18001,洋風料理　カレー類　ビーフカレー,119,(78.5),(2.4),(9.0),(0.9),(8.1),(680),(93),(20),(8),(32),(0.7),(0.4),(0.04),(0.12),(1),(2),(1),(2),0,(3),(0.02),(0.03),(0.4),(0.05),(0.2),(4),(0.9),(1),,,
7,sushi,19016,＜和食料理＞　にぎりずし　盛り合わせ,149,66.1,8.9,3.8,0.9,19.6,440,200,32,25,130,1.1,1.0,0.14,0.36,37,21,2,9,1.1,12,0.06,0.08,2.7,0.18,1.4,26,7.5,2,,,
8,chicken rice,18057,中国料理　菜類　チャーハン,206,55.1,5.0 ,5.2,1.9,33.3,510,69,10,8,56,0.3,0.7,0.09,0.30 ,9,4,1,26,0.2,8,0.04,0.04,0.4,0.04,0.1,8,2.8,1,,,
9,fried rice,18057,中国料理　菜類　チャーハン,206,55.1,5.0 ,5.2,1.9,33.3,510,69,10,8,56,0.3,0.7,0.09,0.30 ,9,4,1,26,0.2,8,0.04,0.04,0.4,0.04,0.1,8,2.8,1,,,
10,tempura bowl,19003,和風料理 天どん,134,69.1,4.8,3.5,0.7,20.9,240,88,17,15,68,0.4,0.5,0.07,0.17,2,4,1,9,0.2,5,0.04,0.03,0.5,0.05,0.1,10,1.8,1,,,
11,bibimbap,19004,韓国料理 ピビンバ,163,66.8,6,5.3,2.1,22.2,310,250,38,30,97,1.2,0.9,0.16,0.38,3,7,2,16,0.1,30,0.07,0.11,0.8,0.14,0.1,74,8.8,7,,,
12,toast,01174,こむぎ　［パン類］　角形食パン　焼き,269,33.6,9.7,4.5,4.6,50.6,520,93,26,20,77,0.5,0.6,0.10,0.28,1,25,1,17,-,-,0.07,0.05,1.2,0.03,-,30,2.2,0,,,
